acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 41.0-1
alacritty 0.9.0-1
alsa-lib 1.2.5.1-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
aom 3.2.0-1
archlinux-keyring 20211028-1
argon2 20190702-3
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-1
audit 3.0.6-1
avahi 0.8+22+gfd482a7-1
base 2-2
bash 5.1.008-1
binutils 2.36.1-3
blueman 2.2.3-1
bluez 5.62-1
bluez-libs 5.62-1
bluez-utils 5.62-1
brave-bin 1:1.31.91-1
brltty 6.4-1
brotli 1.0.9-4
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.72-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.303-1
cmake 3.21.4-1
coreutils 9.0-2
cryptsetup 2.4.1-3
curl 7.80.0-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-python 1.2.18-1
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.14-1
diffutils 3.8-1
dkms 3.0.1-1
dnsmasq 2.86-1
dnssec-anchors 20190629-3
double-conversion 3.1.5-2
e2fsprogs 1.46.4-1
ebtables 2.0.10_4-8
egl-wayland 1:1.1.9+2+gdaab854-1
eglexternalplatform 1.1-2
elfutils 0.185-1
emacs 27.2-1
exa 0.10.1-3
expat 2.4.1-1
fakeroot 1.26-1
fd 8.2.1-1
file 5.41-1
filesystem 2021.11.11-1
findex-bin 0.4.0-1
findutils 4.8.0-1
fish 3.3.1-1
flac 1.3.3-3
flameshot 0.10.1-1
fontconfig 2:2.13.94-1
freeglut 3.2.1-2
freetype2 2.11.0-4
fribidi 1.0.11-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
gawk 5.1.1-1
gc 8.2.0-2
gcc 11.1.0-1
gcc-libs 11.1.0-1
gcr 3.41.0-1
gd 2.3.3-3
gdbm 1.22-1
gdk-pixbuf2 2.42.6-2
gettext 0.21-1
ghc 9.0.1-5
ghc-libs 9.0.1-5
giflib 5.2.1-2
git 2.33.1-1
glew 2.2.0-2
glib-networking 1:2.70.0-1
glib2 2.70.1-1
glibc 2.33-5
glibmm 2.66.2-1
glu 9.0.2-1
gmp 6.2.1-1
gnu-free-fonts 20120503-8
gnupg 2.2.32-1
gnutls 3.7.2-2
gobject-introspection-runtime 1.70.0-2
gpgme 1.16.0-1
gpm 1.20.7.r38.ge82d1a6-4
graphite 1:1.3.14-1
grep 3.7-1
gsettings-desktop-schemas 41.0-1
gtk-update-icon-cache 1:4.4.1-1
gtk2 2.24.33-2
gtk3 1:3.24.30+90+g20be04f7ac-1
gtkmm 1:2.24.5-4
guile 2.2.7-2
gzip 1.11-1
harfbuzz 3.1.1-1
harfbuzz-icu 3.1.1-1
haskell-data-default 0.7.1.1-174
haskell-data-default-class 0.1.2.0-23
haskell-data-default-instances-containers 0.0.1-35
haskell-data-default-instances-dlist 0.0.1-187
haskell-data-default-instances-old-locale 0.0.1-35
haskell-dlist 1.0-110
haskell-extensible-exceptions 0.1.1.4-35
haskell-old-locale 1.0.0.7-29
haskell-old-time 1.1.0.3-29
haskell-random 1.2.1-17
haskell-setlocale 1.0.0.10-3
haskell-splitmix 0.1.0.3-155
haskell-utf8-string 1.0.2-61
haskell-x11 1.10.1-1
haskell-x11-xft 0.3.1-185
hicolor-icon-theme 0.17-2
http-parser 2.9.4-1
hwids 20210613-1
iana-etc 20211025-1
icu 69.1-1
iproute2 5.15.0-1
iptables 1:1.8.7-1
iputils 20210722-1
iso-codes 4.8.0-1
jansson 2.14-1
js78 78.15.0-1
json-c 0.15-2
json-glib 1.6.6-1
jsoncpp 1.9.4-1
kbd 2.4.0-2
keyutils 1.6.3-1
kmod 29-1
krb5 1.19.2-1
lcms2 2.12-1
ldns 1.7.1-2
less 1:590-1
libarchive 3.5.2-1
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3
libavif 0.9.3-1
libcanberra 0.30+2+gc0620e4-5
libcap 2.60-1
libcap-ng 0.8.2-3
libcloudproviders 0.3.1-2
libcolord 1.4.5-4
libcroco 0.6.13-2
libcups 1:2.3.3op2-4
libcurl-gnutls 7.80.0-1
libdaemon 0.14-5
libdatrie 0.2.13-1
libde265 1.0.8-1
libdrm 2.4.108-1
libedit 20210910_3.1-1
libelf 0.185-1
libepoxy 1.5.9-1
libevdev 1.12.0-1
libexif 0.6.23-1
libffi 3.4.2-4
libfm 1.3.2-1
libfm-extra 1.3.2-1
libfm-gtk2 1.3.2-1
libfontenc 1.1.4-3
libgcrypt 1.9.4-1
libgit2 1:1.2.0-1
libglvnd 1.3.4-1
libgpg-error 1.43-1
libgudev 237-1
libheif 1.12.0-2
libical 3.0.11-1
libice 1.0.10-3
libidn2 2.3.2-1
libinput 1.19.2-1
libjpeg-turbo 2.1.1-1
libksba 1.6.0-1
libldap 2.4.59-2
liblouis 3.19.0-1
libmad 0.15.1b-9
libmicrohttpd 0.9.73-1
libmm-glib 1.18.2-1
libmnl 1.0.4-3
libmpc 1.2.1-1
libmpdclient 2.19-3
libndp 1.8-1
libnetfilter_conntrack 1.0.8-1
libnewt 0.52.21-6
libnfnetlink 1.0.1-4
libnftnl 1.2.0-1
libnghttp2 1.46.0-1
libnl 3.5.0-3
libnm 1.32.12-1
libnma 1.8.32-1
libnsl 2.0.0-1
libogg 1.3.5-1
libomxil-bellagio 0.9.3-3
libotf 0.9.16-3
libp11-kit 0.24.0-2
libpaper 1.1.28-1
libpcap 1.10.1-1
libpciaccess 0.16-2
libpgm 5.3.128-1
libpng 1.6.37-3
libproxy 0.4.17-3
libpsl 0.21.1-1
libpulse 15.0-1
librsvg 2:2.52.4-1
libsasl 2.1.27-3
libseccomp 2.5.3-1
libsecret 0.20.4-1
